Principal_Component,ETF,Correlation
PC1,USMV,0.891120987184825
PC1,EFA,0.6840571698510376
PC1,EEM,0.6812031942290071
PC1,XLE,0.6516834528067726
PC1,XLF,0.8560713664848696
PC1,XLP,0.6302632374003884
PC1,XLC,0.5898545014766661
PC1,XLB,0.8577076407791197
PC1,XLU,0.5813092894768508
PC1,GLD,0.32363819776724956
PC1,USO,0.056869736227618276
PC1,XLV,0.7746034733505535
PC1,LQD,0.12570295441006296
PC1,VLUE,0.5833161658295226
PC1,TLT,-0.12941311279868511
PC1,XLY,0.6977729702678316
PC1,MTUM,0.6799246531224995
PC1,QUAL,0.7507907536607651
PC1,XLK,0.4336281478576244
PC1,XLI,0.914198538982588
PC1,HYG,0.5781601186777191
PC1,XLRE,0.6797379267821797
PC1,FXI,0.2810284666147379
PC1,SLV,0.36727327010242805
PC1,SIZE,0.05817404943107314
PC2,USMV,-0.11814569972803922
PC2,EFA,0.3758854026128309
PC2,EEM,0.3954606309511353
PC2,XLE,0.037900426718550255
PC2,XLF,-0.08337317374260514
PC2,XLP,-0.4833177278208756
PC2,XLC,0.41119161545645727
PC2,XLB,0.09401702238816083
PC2,XLU,-0.4458211317614881
PC2,GLD,-0.03555511598895508
PC2,USO,0.17619300362072746
PC2,XLV,-0.3160590017917517
PC2,LQD,-0.17497315710111333
PC2,VLUE,0.10249633060780555
PC2,TLT,-0.2391448721547747
PC2,XLY,0.4308006102768879
PC2,MTUM,0.4626322338350508
PC2,QUAL,0.4450639118911996
PC2,XLK,0.7355856171477749
PC2,XLI,0.13410065857894776
PC2,HYG,0.21353738882157325
PC2,XLRE,-0.36540752839338736
PC2,FXI,0.17684768362548722
PC2,SLV,0.1884364669740041
PC2,SIZE,0.03561910343908668
PC3,USMV,0.11454520610564758
PC3,EFA,-0.02154665690730974
PC3,EEM,0.03544971535585194
PC3,XLE,-0.39551340943640156
PC3,XLF,-0.06911636064041334
PC3,XLP,0.08328504037854158
PC3,XLC,0.010282663200575852
PC3,XLB,-0.22415774387910536
PC3,XLU,0.08039544118088358
PC3,GLD,-0.2298574937019794
PC3,USO,-0.44119236785117033
PC3,XLV,0.11647609154658249
PC3,LQD,0.20995843439864506
PC3,VLUE,-0.006056233349030065
PC3,TLT,0.1298612837329815
PC3,XLY,0.19474291873342836
PC3,MTUM,0.1785235771932916
PC3,QUAL,0.18756986338384887
PC3,XLK,0.3213824331973466
PC3,XLI,-0.029412194607793953
PC3,HYG,0.22641911357579897
PC3,XLRE,0.3079474904068324
PC3,FXI,0.03954545673834327
PC3,SLV,-0.32383572766598095
PC3,SIZE,0.01902623398282631
PC4,USMV,0.12148273262730624
PC4,EFA,-0.2529551264728321
PC4,EEM,-0.044717113086227084
PC4,XLE,-0.03744593301546656
PC4,XLF,0.03185139383498108
PC4,XLP,-0.03752934688716086
PC4,XLC,0.37487030948941064
PC4,XLB,0.005647821719328092
PC4,XLU,0.15535301122232195
PC4,GLD,0.43684186780548145
PC4,USO,0.12272843914654016
PC4,XLV,-0.06898509563245982
PC4,LQD,-0.024528393872657945
PC4,VLUE,-0.13958345625144003
PC4,TLT,-0.10387826827575701
PC4,XLY,0.1845644955360126
PC4,MTUM,0.10526484311780782
PC4,QUAL,0.07665410785822199
PC4,XLK,0.08044039213638939
PC4,XLI,0.06722391608449725
PC4,HYG,-0.04259914622766344
PC4,XLRE,0.11497753108015388
PC4,FXI,-0.25750348944375606
PC4,SLV,0.31940347596504126
PC4,SIZE,0.049606329617068255
PC5,USMV,0.11188156144532638
PC5,EFA,0.05986158273714324
PC5,EEM,-0.15541941695841777
PC5,XLE,0.16394387403534197
PC5,XLF,0.055006118545135214
PC5,XLP,0.10398554703343295
PC5,XLC,-0.07155565644156661
PC5,XLB,0.15414275408043288
PC5,XLU,0.205882660850476
PC5,GLD,-0.21461711341506914
PC5,USO,0.08366144116976575
PC5,XLV,-0.04351360573151469
PC5,LQD,-0.16382120120711172
PC5,VLUE,-0.021559800346380425
PC5,TLT,-0.09270331321068521
PC5,XLY,-0.09154130430095059
PC5,MTUM,-0.004351063994396123
PC5,QUAL,0.0025151320482867173
PC5,XLK,0.011869829301453722
PC5,XLI,0.06667471207642763
PC5,HYG,-0.0296557155558511
PC5,XLRE,-0.2889236452181324
PC5,FXI,-0.107929015784502
PC5,SLV,-0.008071326886293749
PC5,SIZE,0.07006336655863926
PC6,USMV,-0.021664258260463753
PC6,EFA,-0.14533056085542426
PC6,EEM,-0.14610877783334597
PC6,XLE,0.211289204340042
PC6,XLF,-0.26233178512594035
PC6,XLP,0.053638637195247044
PC6,XLC,0.1548723243009153
PC6,XLB,0.010251229854165697
PC6,XLU,0.1392727644142115
PC6,GLD,-0.08423157009945864
PC6,USO,0.31435822729578583
PC6,XLV,-0.012086517707050591
PC6,LQD,-0.036123269524809654
PC6,VLUE,-0.06730768188806567
PC6,TLT,-0.009673380406492578
PC6,XLY,0.08201100821752819
PC6,MTUM,-0.05559513813230106
PC6,QUAL,0.05282715594682046
PC6,XLK,0.08588106435921847
PC6,XLI,-0.032353515008395575
PC6,HYG,-0.019747688892455595
PC6,XLRE,0.07692440183549165
PC6,FXI,0.3775224385587835
PC6,SLV,-0.05653030912720283
PC6,SIZE,-0.1334714924754523
PC7,USMV,0.07997009889676493
PC7,EFA,0.1465650538959323
PC7,EEM,0.16568953870361652
PC7,XLE,-0.28498641435830013
PC7,XLF,-0.10409940817752
PC7,XLP,0.3050885606917202
PC7,XLC,0.25617631131541463
PC7,XLB,0.0503776985291131
PC7,XLU,0.11357771259946439
PC7,GLD,0.061733213478075644
PC7,USO,0.014540109069565085
PC7,XLV,0.12366341847029964
PC7,LQD,-0.006268828437866509
PC7,VLUE,0.017252721701408187
PC7,TLT,-0.018750431476606447
PC7,XLY,0.09263428811511798
PC7,MTUM,0.019012724722255323
PC7,QUAL,0.14914061319729768
PC7,XLK,0.09562633319557359
PC7,XLI,-0.041514642008225786
PC7,HYG,0.00759590875816994
PC7,XLRE,-0.08532738214939307
PC7,FXI,0.007308827067880618
PC7,SLV,0.11993552352067385
PC7,SIZE,0.039633117566908106
PC8,USMV,0.04218708121866775
PC8,EFA,0.17557475909034162
PC8,EEM,0.178226146299845
PC8,XLE,0.23313817976549883
PC8,XLF,0.1335579145018192
PC8,XLP,0.04799763934188847
PC8,XLC,0.03831965920823693
PC8,XLB,0.030343595865266366
PC8,XLU,0.3681076997205134
PC8,GLD,0.08465730662916139
PC8,USO,0.10411487617238496
PC8,XLV,-0.006069888177722579
PC8,LQD,0.0757909730284525
PC8,VLUE,-0.0045255971413941075
PC8,TLT,0.02309004500024719
PC8,XLY,0.01576833557162379
PC8,MTUM,0.04194909128605645
PC8,QUAL,0.034474258332027094
PC8,XLK,0.12720241892281167
PC8,XLI,-0.005488206333420076
PC8,HYG,0.08298289059604784
PC8,XLRE,0.14152857440846453
PC8,FXI,0.055796909173297736
PC8,SLV,0.14002907401709272
PC8,SIZE,0.010113815707779287
PC9,USMV,0.11882049825049136
PC9,EFA,0.005939328296614003
PC9,EEM,0.02714462102936761
PC9,XLE,0.27988537423685395
PC9,XLF,0.07647334375263022
PC9,XLP,0.21952860697752358
PC9,XLC,0.14011510493927942
PC9,XLB,-0.040989834999689986
PC9,XLU,-0.24367971130514324
PC9,GLD,-0.0399550023312504
PC9,USO,0.07699478653073738
PC9,XLV,0.14958116798659019
PC9,LQD,0.020489029145578652
PC9,VLUE,-0.04345148264129424
PC9,TLT,-0.007887261986097903
PC9,XLY,0.08292917996024583
PC9,MTUM,0.013048598680790243
PC9,QUAL,0.08065763319259821
PC9,XLK,0.048744975302141086
PC9,XLI,0.02025486068948671
PC9,HYG,0.0343071099767605
PC9,XLRE,-0.03278049084356647
PC9,FXI,-0.035598867469660615
PC9,SLV,-0.049241312658477955
PC9,SIZE,0.016701907421630403
PC10,USMV,0.011624595342722768
PC10,EFA,0.0018549335977376406
PC10,EEM,-0.10500766692662726
PC10,XLE,-0.19031936768778918
PC10,XLF,0.1713669654219795
PC10,XLP,0.006441489064263368
PC10,XLC,0.021869024911317515
PC10,XLB,0.029208172385015344
PC10,XLU,-0.07734137340709552
PC10,GLD,-0.07590080857105949
PC10,USO,-0.0015837074871754163
PC10,XLV,-0.057380830025158376
PC10,LQD,-0.05322902304689343
PC10,VLUE,-0.015559165475777126
PC10,TLT,-0.008559290677240287
PC10,XLY,0.05188818097703384
PC10,MTUM,-0.0011941133749549721
PC10,QUAL,0.013649365873066442
PC10,XLK,0.04453509148116889
PC10,XLI,0.04193048379119332
PC10,HYG,-0.030342407185543385
PC10,XLRE,0.11957587207459998
PC10,FXI,0.011463693324762802
PC10,SLV,-0.023828522206106165
PC10,SIZE,-0.025997390937655157
PC11,USMV,0.014508316555718865
PC11,EFA,-0.04155020240458317
PC11,EEM,-0.042646500389459586
PC11,XLE,-0.04961707683478711
PC11,XLF,0.10486171209587139
PC11,XLP,-0.03661808166133664
PC11,XLC,0.06741929744096581
PC11,XLB,0.028739919398151903
PC11,XLU,0.06640596286109708
PC11,GLD,0.0030160464690266175
PC11,USO,-0.10609909588043664
PC11,XLV,0.11889318553622306
PC11,LQD,-0.005130054662996217
PC11,VLUE,-0.11452520059509223
PC11,TLT,-0.0038330456376225812
PC11,XLY,0.038731347614383634
PC11,MTUM,0.0030257408708596694
PC11,QUAL,0.003318204024217239
PC11,XLK,0.0073309715401115895
PC11,XLI,0.06310981679446613
PC11,HYG,0.06521021469067446
PC11,XLRE,-0.0007696519898568072
PC11,FXI,0.09264578929994215
PC11,SLV,-0.024900391389047323
PC11,SIZE,-0.0029219367829840712
PC12,USMV,-0.07248749483427924
PC12,EFA,0.029121741218911496
PC12,EEM,0.0417068169048105
PC12,XLE,0.06063594283407754
PC12,XLF,-0.044911381057175286
PC12,XLP,-0.001936988509553445
PC12,XLC,-0.09720374309977411
PC12,XLB,0.030951791660640958
PC12,XLU,-0.04060141830917195
PC12,GLD,0.05431302017388101
PC12,USO,-0.0370022492662395
PC12,XLV,-0.03362376826657686
PC12,LQD,0.02206267978395423
PC12,VLUE,0.05000030900652089
PC12,TLT,0.03470941481616495
PC12,XLY,0.017441616977531386
PC12,MTUM,-0.03855383051318028
PC12,QUAL,-0.05327067704837711
PC12,XLK,-0.04396227729634054
PC12,XLI,-0.043777731381429694
PC12,HYG,0.04091480081022227
PC12,XLRE,0.07840347824010002
PC12,FXI,-0.0019465273984540633
PC12,SLV,0.048733276170846516
PC12,SIZE,0.020699730194272667
PC13,USMV,0.017744409137980185
PC13,EFA,0.0606743163081347
PC13,EEM,0.03151685425275641
PC13,XLE,0.029681602830774822
PC13,XLF,0.022752642241774645
PC13,XLP,-0.0762188454536498
PC13,XLC,0.10926904485174535
PC13,XLB,-0.08208218629332353
PC13,XLU,-0.032277918742139776
PC13,GLD,-0.006260444231447617
PC13,USO,0.08575674766778311
PC13,XLV,-0.0692597420748134
PC13,LQD,-0.021922591202261785
PC13,VLUE,-0.04821917882590966
PC13,TLT,-0.04579966640798971
PC13,XLY,0.019212544324696
PC13,MTUM,0.008445164024097819
PC13,QUAL,0.041689680147119504
PC13,XLK,0.0708922661562514
PC13,XLI,-0.16236980162174994
PC13,HYG,-0.009548889851358655
PC13,XLRE,-0.008386722990992248
PC13,FXI,0.04685500230263345
PC13,SLV,0.005302898949793133
PC13,SIZE,-0.025227732468466
PC14,USMV,-0.024513168268332882
PC14,EFA,0.055157190736578106
PC14,EEM,0.016976243672006255
PC14,XLE,0.06931985302302367
PC14,XLF,-0.10350767728269257
PC14,XLP,-0.08126254634917796
PC14,XLC,-0.036320772509274304
PC14,XLB,0.015247591461381887
PC14,XLU,-0.007535214551165194
PC14,GLD,0.0643053090312013
PC14,USO,0.05388415692508729
PC14,XLV,0.015792314229818458
PC14,LQD,-0.02285779913584569
PC14,VLUE,-0.04255977717171667
PC14,TLT,0.02734443857300131
PC14,XLY,0.04361836076318775
PC14,MTUM,0.02009775668275831
PC14,QUAL,0.02554569328220026
PC14,XLK,0.0012463241513864397
PC14,XLI,0.03664152552310355
PC14,HYG,0.013944423773069595
PC14,XLRE,0.06813152081458665
PC14,FXI,-0.09802923641879802
PC14,SLV,0.08489281037576994
PC14,SIZE,-0.012545236699980564
PC15,USMV,-0.007532295121065219
PC15,EFA,-0.016581527124528338
PC15,EEM,-0.005136813203492212
PC15,XLE,-0.002894659601938835
PC15,XLF,0.018517518210906365
PC15,XLP,-0.02805378700116179
PC15,XLC,0.0773969315233318
PC15,XLB,0.034920183104165115
PC15,XLU,-0.014481051416783497
PC15,GLD,-0.006321648542036114
PC15,USO,-0.01998568775988551
PC15,XLV,-0.012982255969021101
PC15,LQD,-0.046105239493493246
PC15,VLUE,0.01739029490282481
PC15,TLT,-0.015243908894508013
PC15,XLY,-0.009961878340279345
PC15,MTUM,-0.0008150669487193233
PC15,QUAL,0.010923089366076812
PC15,XLK,-0.012188837113650222
PC15,XLI,-0.016051628919505262
PC15,HYG,0.02391945681244492
PC15,XLRE,-0.01494854012128436
PC15,FXI,0.017976840627631385
PC15,SLV,0.010198287816278089
PC15,SIZE,0.003735577031157143
PC16,USMV,0.06840649252819153
PC16,EFA,0.03443184241261683
PC16,EEM,0.03602320097372568
PC16,XLE,0.007769273177994644
PC16,XLF,0.06302124707055365
PC16,XLP,0.05427329104396225
PC16,XLC,0.03203625555083907
PC16,XLB,0.038674387428309344
PC16,XLU,0.04390778400296075
PC16,GLD,0.003370918959398523
PC16,USO,0.010847879573346342
PC16,XLV,0.0731898127140233
PC16,LQD,0.016815733978549435
PC16,VLUE,-0.08924773644194539
PC16,TLT,0.02296739938520566
PC16,XLY,0.05420714044779537
PC16,MTUM,0.024463351235291236
PC16,QUAL,0.06361444358071167
PC16,XLK,0.02622122495187347
PC16,XLI,0.06317892301598149
PC16,HYG,0.0495385073792901
PC16,XLRE,-0.10044695500322422
PC16,FXI,0.016371148111976347
PC16,SLV,0.0006119331164558708
PC16,SIZE,-0.028658168697680154
PC17,USMV,-0.029323053565563424
PC17,EFA,-0.0638188294922924
PC17,EEM,-0.07770143505246514
PC17,XLE,-0.017539393728397266
PC17,XLF,0.010804136881421064
PC17,XLP,-0.09561654021493754
PC17,XLC,-0.03224329943223756
PC17,XLB,-0.07823620239555894
PC17,XLU,0.02959751562891277
PC17,GLD,-0.059821913452577494
PC17,USO,0.029928992487988592
PC17,XLV,-0.01089867449288779
PC17,LQD,-0.03607971450807276
PC17,VLUE,0.1628996130282086
PC17,TLT,0.00460887813400507
PC17,XLY,-0.07582729225078684
PC17,MTUM,-0.0196066551152914
PC17,QUAL,-0.03373779542768662
PC17,XLK,-0.06901547885288796
PC17,XLI,-0.08925568299863235
PC17,HYG,-0.018602768341601926
PC17,XLRE,-0.08450604252648636
PC17,FXI,-0.01998187255779161
PC17,SLV,-0.028380116402882308
PC17,SIZE,-0.004321304960913202
PC18,USMV,0.040610473367978836
PC18,EFA,0.01888226873274812
PC18,EEM,-0.0048409975804996975
PC18,XLE,0.02432254639584147
PC18,XLF,0.05607456511800174
PC18,XLP,0.026552336662963857
PC18,XLC,-0.047744568856336767
PC18,XLB,0.061496320154163994
PC18,XLU,-0.09722501408490725
PC18,GLD,0.01892951223907514
PC18,USO,0.04452426693586036
PC18,XLV,0.13178173975480323
PC18,LQD,-0.019218328399094247
PC18,VLUE,-0.050625761965000605
PC18,TLT,-0.010101140891225702
PC18,XLY,-0.027084897259895793
PC18,MTUM,0.008164929568314109
PC18,QUAL,0.02993676187627256
PC18,XLK,-0.0226138064981656
PC18,XLI,0.02802390894207387
PC18,HYG,-0.006356283082977082
PC18,XLRE,0.1611746816747316
PC18,FXI,0.005030975292084998
PC18,SLV,0.06363290614857918
PC18,SIZE,0.005760223411178384
PC19,USMV,0.0031976790336614015
PC19,EFA,-0.05400777233399012
PC19,EEM,-0.01578392773139561
PC19,XLE,-0.001870432949759817
PC19,XLF,0.009594592214675072
PC19,XLP,0.11258576726073022
PC19,XLC,-0.04741350501341084
PC19,XLB,0.0519109324660989
PC19,XLU,-0.04897208369782538
PC19,GLD,-0.028932371690894427
PC19,USO,-0.02895139920471331
PC19,XLV,-0.12041658300814737
PC19,LQD,-0.004703986313643243
PC19,VLUE,-0.026166786242896072
PC19,TLT,0.0073702488701566544
PC19,XLY,0.03879373817657335
PC19,MTUM,-0.015514531673745561
PC19,QUAL,-0.026998530254560456
PC19,XLK,0.01964986815189743
PC19,XLI,0.05801731635367498
PC19,HYG,-0.038411949560892576
PC19,XLRE,-0.0055328091945983145
PC19,FXI,-0.06504480416788654
PC19,SLV,-0.03532936164812711
PC19,SIZE,-0.020992205206603748
PC20,USMV,0.006345296379170938
PC20,EFA,0.02259400265444209
PC20,EEM,-0.019401048838368396
PC20,XLE,0.007321673073195772
PC20,XLF,0.0462333414300517
PC20,XLP,-0.12201399760034959
PC20,XLC,-0.05144802705853789
PC20,XLB,0.06286957069120028
PC20,XLU,0.04016816591128315
PC20,GLD,0.022622842322943912
PC20,USO,0.057140682092307556
PC20,XLV,0.03893231807442711
PC20,LQD,0.028906996122841446
PC20,VLUE,0.04730853969530516
PC20,TLT,0.019970382224973892
PC20,XLY,-0.035766616346430316
PC20,MTUM,-0.010652213746390535
PC20,QUAL,-0.013294491301680233
PC20,XLK,-0.010077866660592584
PC20,XLI,-0.028375215295281885
PC20,HYG,-0.0658208699098546
PC20,XLRE,-0.02096517529308823
PC20,FXI,0.07742262353043454
PC20,SLV,0.033592581213089355
PC20,SIZE,-0.012801632551395332
